text@bky1986m	@bky1986m	1274.34	1275.39	это уравнение/
text@bky1986m	@bky1986m	1275.42	1276.22	это рисунок/
text@bky1986m	@bky1986m	1277.235	1277.575	окей
text@bky1986m	@bky1986m	1279.815	1297.125	я щас... ээм... ээ разрабатываю модель о формировании лун э планет гигантов// ээ... эмм на данный момент нет  так скажемм... нет хорошей теории о том как луны Юпитера... ммм Сатурна форми... сформировались/ мэ и... это открытый вопрос... //
text@bky1986m	@bky1986m	1302.42	1306.5	да//это планета спутник которая находится в орбите Сатурна/
text@bky1986m	@bky1986m	1306.515	1312.235	и... можно задать тривиальный вопрос/ почему она существует?//
text@bky1986m	@bky1986m	1312.24	1316.5	откуда... у Сатурна как... как у Сатурна сформировалась луна?/
text@bky1986m	@bky1986m	1316.845	1319.56	на данный момент на это нет... нет хорошего ответа/
text@bky1986m	@bky1986m	1319.56	1322.56	нужна теория и... фундаментальная да
text@bky1986m	@bky1986m	1322.575	1327.625	мы знаем все эти законы физ... то есть все законы физики которые играют роль
text@bky1986m	@bky1986m	1327.625	1329.015	в этой модели/ в этой теории
text@bky1986m	@bky1986m	1329.025	1334.185	мы знаем это гравиация это гидродинамика... они понятны/
text@bky1986m	@bky1986m	1334.185	1338.255	дрр... ээ вопрос на которого отве... ответа хорошего еще нет
text@bky1986m	@bky1986m	1338.265	1346.415	это как эти законы сходят вместе как они ээ генерируют ту систему которую мы видим?//
text@bky1986m	@bky1986m	1346.445	1349.23	э то есть представь себе как ээ/ это как лего.../
text@bky1986m	@bky1986m	1349.23	1352.2	ну когда мы знаем/ у нас есть все эээ
text@bky1986m	@bky1986m	1352.6	1357.97	детали да... и... мы знаем что из них должно случиться...
text@bky1986m	@bky1986m	1357.97	1361.45	вопрос как мы... как
text@bky1986m	@bky1986m	1362.3	1364.82	в каком порядке да в каком порядке и как да?//
text@bky1986m	@bky1986m	1369.92	1370.37	да//
text@bky1986m	@bky1986m	1375.28	1378.85	да// это фиктивно говоря вся теоретическая астрофизика// 
text@bky1986m	@bky1986m	1378.86	1384.78	вся теоретическая астрофизика это ты знаешь какие-то космические феномены
text@bky1986m	@bky1986m	1384.785	1390.29	ты знаешь что например там солнечная система / она существует и у нее вот такая структура 
text@bky1986m	@bky1986m	1390.29	1403.76	ты знаешь что законы физики которые играют роль это там / #нрзб# / гравитации дальше вопрос как ты берешь вот эти фундаментальные законы физики и получаешь ответ который ты видишь в космосе?//
text@bky1986m	@bky1986m	1409.835	1410.095	да//
